ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430221840277,-9.78228,0.507479,-0.618138,0.00211181,-0.00543824,0.00662772,0.575599,0.00243185,0.261447
01324188,1430221840277,-9.5902,-0.512822,-2.11764,0.0288453,-0.0162946,0.00133331,0.651761,-0.134595,0.431626
01324180,1430221840277,-9.09489,3.26869,1.69655,0.013826,0.0307856,0.0057369,0.54225,-0.558133,-0.014273
01324189,1430221840285,-9.77685,0.549155,-0.559704,0.00377576,0.00576681,0.00305787,0.575061,0.00831735,0.257223
01324188,1430221840285,-9.60937,-0.451362,-1.93035,-0.00255989,0.00300331,-0.00310238,0.652933,-0.128296,0.432537
01324180,1430221840285,-9.09499,3.26846,1.7183,0.0100717,0.0554815,-0.00290533,0.541954,-0.554213,-0.0176835
01324189,1430221840301,-9.7815,0.585711,-0.530339,0.00711458,0.00917714,-0.00582093,0.575327,0.00802682,0.258019
01324188,1430221840301,-9.65532,-0.449518,-1.82412,-0.0164775,0.00459061,-0.000533555,0.653336,-0.127902,0.430152
01324180,1430221840301,-9.07591,3.27305,1.76201,0.00957355,0.0417583,-0.0188324,0.541414,-0.554358,-0.015932
01324189,1430221840317,-9.79123,0.592939,-0.530174,-0.00847217,0.0162539,-0.000553893,0.576273,0.00384986,0.261183
01324188,1430221840317,-9.69389,-0.418066,-1.81929,0.0201619,0.00884269,0.00329697,0.650794,-0.130668,0.431481
01324180,1430221840317,-9.06154,3.25798,1.83457,0.00851786,0.050352,-0.0117528,0.542366,-0.558009,-0.0111822
01324189,1430221840332,-9.78219,0.582899,-0.579016,-0.0189104,0.0163535,-0.000591369,0.575055,0.00416553,0.260397
01324188,1430221840332,-9.61888,-0.40347,-1.87776,0.0454817,-0.000967544,0.0086843,0.650118,-0.130042,0.430727
01324180,1430221840332,-9.08063,3.23844,1.83427,0.00130771,0.0589329,-0.00382648,0.542203,-0.55541,-0.0112624
01324189,1430221840347,-9.79188,0.543957,-0.596,-0.00139925,0.00755049,0.00659343,0.573549,0.00535628,0.260691
