ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430391407848,-9.41528,-1.37126,-2.09228,0.0337526,-0.0214667,-0.0122914,0.931024,-0.243608,-0.0222931
01324188,1430391407848,-9.62097,0.158537,-2.30747,0.0611509,0.00894198,0.0664961,0.914657,-0.242954,-0.132962
01324180,1430391407848,-8.95541,3.98012,2.26095,0.0223042,-0.0694267,-0.00369991,0.733649,-0.211631,-0.584675
01324189,1430391407853,-9.43738,-1.25483,-2.06246,0.00956027,-0.000470014,0.00269518,0.929973,-0.236676,-0.0286771
01324188,1430391407853,-9.57329,-0.0249778,-2.29174,0.0934271,0.00821201,0.0649515,0.914071,-0.234036,-0.136508
01324180,1430391407853,-9.03564,4.19656,2.24685,0.00275088,-0.0610567,0.0138894,0.731129,-0.207534,-0.592815
01324189,1430391407869,-9.45451,-1.33279,-2.10863,-0.00419553,0.010045,0.0141829,0.929717,-0.237804,-0.0292096
01324188,1430391407869,-9.58731,0.109993,-2.27842,0.128232,0.00246861,0.0438791,0.914213,-0.235696,-0.13476
01324180,1430391407869,-8.91893,4.14462,2.26704,-0.104821,-0.0197749,0.0328004,0.730722,-0.206236,-0.593582
01324189,1430391407885,-9.43794,-1.28918,-2.11608,0.00606306,0.023731,0.00530345,0.929585,-0.244717,-0.0251815
01324188,1430391407885,-9.65396,0.390536,-2.36948,0.135156,-0.0142548,0.0322198,0.914126,-0.243386,-0.132717
01324180,1430391407885,-8.81506,3.92721,2.39977,-0.178339,-0.0255537,0.0418884,0.730179,-0.207839,-0.586947
01324189,1430391407901,-9.49535,-1.21743,-2.20265,-0.00102834,0.0341564,-6.15618e-05,0.93117,-0.244324,-0.0230901
01324188,1430391407901,-9.49426,0.451462,-2.20043,0.0985932,-0.00359689,0.0418417,0.9144,-0.244528,-0.132923
01324180,1430391407901,-8.74457,3.67568,2.52716,-0.170229,-0.0359843,0.0356346,0.730458,-0.208261,-0.588824
01324189,1430391407916,-9.52046,-1.16454,-2.24109,0.00436842,0.0116742,0.0106635,0.932512,-0.246053,-0.0223289
01324188,1430391407916,-9.43631,0.418798,-2.38828,0.0635735,0.00660377,0.0275661,0.913589,-0.242861,-0.131487
01324180,1430391407916,-8.51206,3.58962,2.70778,-0.152902,-0.0833715,0.0370969,0.731232,-0.206703,-0.588671
01324189,1430391407932,-9.50324,-1.36234,-2.14204,0.0062329,-0.000416274,0.0124697,0.928094,-0.240435,-0.025921
01324188,1430391407932,-9.50627,0.448818,-2.50832,0.0626579,0.00671585,0.0257813,0.912372,-0.239848,-0.134198
01324180,1430391407932,-8.22309,3.57028,3.03431,-0.157529,-0.109497,0.0209899,0.727762,-0.201169,-0.595037
01324189,1430391407948,-9.4683,-1.26085,-2.19343,-0.00265086,0.0117315,0.0035241,0.928369,-0.240728,-0.0264529
01324188,1430391407948,-9.53791,0.390766,-2.46423,0.0915326,-0.00603026,0.0382258,0.911719,-0.241975,-0.134453
01324180,1430391407948,-8.9475,4.15373,3.66842,-0.314034,-0.151795,-0.0010897,0.724727,-0.199804,-0.599228
01324189,1430391407963,-9.51999,-1.22749,-2.23638,0.0164435,-0.00659136,7.73633e-05,0.929442,-0.244427,-0.0243878
